category,image_name,label,predicted_crack_present,crack_area_ratio,crack_area_percentage,crack_length_pixels,mean_width_pixels,max_width_pixels,dominant_orientation_deg,branching_points
deck,7017-33.jpg,cracked,1,0.02032470703125,2.032470703125,147.95331880577405,6.296441881989521,16.0,22.92166616203869,5
deck,7057-215.jpg,cracked,1,0.00390625,0.390625,255.0,2.0,2.0,90.0,0
deck,7010-60.jpg,cracked,1,0.0213623046875,2.13623046875,237.75230867899737,3.990009859280607,8.246211251235321,102.23787663114052,0
deck,7017-133.jpg,cracked,1,0.0081329345703125,0.81329345703125,53.55634918610404,5.37255891612044,11.661903789690601,94.91336252920377,0
deck,7011-247.jpg,cracked,1,0.04034423828125,4.034423828125,291.651803615609,6.104147761504593,19.697715603592208,87.4458132092417,0
deck,7026-63.jpg,cracked,1,0.005889892578125,0.5889892578125,59.62741699796952,4.164409507357735,8.246211251235321,102.17793294892665,0
deck,7008-91.jpg,cracked,1,0.01885986328125,1.885986328125,178.40916292848976,4.738710780292075,10.0,93.18329261498397,4
deck,7050-190.jpg,cracked,1,0.00543212890625,0.543212890625,47.18376618407357,4.467021345590752,8.48528137423857,138.13580204224164,0
deck,7057-196.jpg,cracked,1,0.00390625,0.390625,255.0,2.0,2.0,90.0,0
deck,7022-129.jpg,cracked,1,0.0335235595703125,3.35235595703125,290.2497833620557,4.8249880512487175,10.0,86.00748300957422,0
deck,7029-185.jpg,cracked,1,0.0117645263671875,1.17645263671875,129.63961030678928,4.146662694979667,8.48528137423857,120.5773442024072,3
deck,7029-224.jpg,cracked,1,0.0447540283203125,4.47540283203125,315.747258045114,5.782770455045759,14.142135623730951,134.45717486659635,0
deck,7038-222.jpg,cracked,1,0.0079193115234375,0.79193115234375,75.74011537017762,4.305256699061091,8.94427190999916,120.05230912255833,0
deck,7036-101.jpg,cracked,1,0.022308349609375,2.2308349609375,187.20815280171308,5.239811186821648,12.649110640673518,119.33528818299874,1
deck,7006-96.jpg,cracked,1,0.0377655029296875,3.77655029296875,312.49242404917504,5.307009520482697,14.422205101855956,21.329021379923006,4
deck,7027-101.jpg,cracked,1,0.004302978515625,0.4302978515625,38.04163056034262,4.368572494307157,8.246211251235321,118.48124046118427,0
